year,tmID,franchID,confID,rank,playoff,firstRound,semis,finals,won,lost,GP,homeW,homeL,awayW,awayL,confW,confL,min,coach_experience,player_average_height,player_average_weight,player_total_GP,player_total_GS,player_total_points,player_total_oRebounds,player_total_dRebounds,player_total_rebounds,player_total_assists,player_total_steals,player_total_blocks,player_total_turnovers,player_total_PF,player_total_fgAttempted,player_total_fgMade,player_total_ftAttempted,player_total_ftMade,player_total_threeAttempted,player_total_threeMade,player_total_dq,player_total_PostGP,player_total_PostGS,player_total_PostMinutes,player_total_PostPoints,player_total_PostoRebounds,player_total_PostdRebounds,player_total_PostRebounds,player_total_PostAssists,player_total_PostSteals,player_total_PostBlocks,player_total_PostTurnovers,player_total_PostPF,player_total_PostfgAttempted,player_total_PostfgMade,player_total_PostftAttempted,player_total_PostftMade,player_total_PostthreeAttempted,player_total_PostthreeMade,player_total_PostDQ,player_total_awards,winrate,home_winrate,away_winrate,conf_winrate,o_fg_pct,o_ft_pct,o_3p_pct,o_oreb_pct,o_dreb_pct,d_fg_pct,d_ft_pct,d_3p_pct,d_oreb_pct,d_dreb_pct,pts_diff
8,CHI,CHI,EA,6.0,N,,,,14.0,20.0,34.0,6.0,11.0,8.0,9.0,6.0,14.0,6972.0,0.0,181.07142857142856,75.78571428571429,348.0,170.0,2525.0,383.0,782.0,1165.0,597.0,262.0,112.0,493.0,634.0,2277.0,925.0,723.0,489.0,544.0,186.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.4117647058823529,0.3529411764705882,0.4705882352941176,0.3,0.4062362758014932,0.6763485477178424,0.3419117647058823,0.3287553648068669,0.671244635193133,0.4293357111012037,0.780373831775701,0.3825363825363825,0.3093877551020408,0.6906122448979591,-86.0
9,CHI,CHI,EA,5.0,N,,,,12.0,22.0,34.0,8.0,9.0,4.0,13.0,10.0,10.0,6875.0,0.0,183.3846153846154,76.84615384615384,339.0,170.0,2472.0,357.0,770.0,1127.0,548.0,269.0,149.0,485.0,639.0,2100.0,899.0,812.0,564.0,341.0,110.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3529411764705882,0.4705882352941176,0.2352941176470588,0.5,0.4280952380952381,0.6945812807881774,0.3225806451612903,0.3167701863354037,0.6832298136645962,0.4162505674080798,0.7725190839694657,0.3346456692913386,0.3155172413793103,0.6844827586206896,-38.0
10,CHI,CHI,EA,5.0,N,,,,16.0,18.0,34.0,12.0,5.0,4.0,13.0,10.0,12.0,6825.0,350.0,182.16666666666663,74.08333333333333,333.0,165.0,2513.0,293.0,757.0,1050.0,529.0,244.0,134.0,490.0,584.0,2093.0,907.0,671.0,513.0,469.0,186.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4705882352941176,0.7058823529411765,0.2352941176470588,0.4545454545454545,0.4353932584269663,0.7604617604617605,0.3949044585987261,0.283471837488458,0.716528162511542,0.4424856765094755,0.7814029363784666,0.3473861720067454,0.310553633217993,0.6894463667820069,-120.0
1,CLE,CLE,EA,2.0,Y,W,L,,17.0,15.0,32.0,13.0,3.0,4.0,12.0,13.0,8.0,6500.0,0.0,179.69230769230768,73.23076923076923,313.0,160.0,2185.0,331.0,603.0,934.0,539.0,259.0,91.0,529.0,647.0,1828.0,809.0,570.0,426.0,407.0,141.0,7.0,61.0,30.0,1200.0,358.0,72.0,133.0,205.0,97.0,52.0,13.0,81.0,90.0,340.0,136.0,89.0,63.0,91.0,23.0,0.0,0.0,0.53125,0.8125,0.25,0.6190476190476191,0.4425601750547046,0.7473684210526316,0.3464373464373464,0.354389721627409,0.645610278372591,0.4395229982964225,0.7804459691252144,0.3233695652173913,0.3172966781214204,0.6827033218785796,63.0
2,CLE,CLE,EA,1.0,Y,L,,,22.0,10.0,32.0,14.0,2.0,8.0,8.0,15.0,6.0,6425.0,106.0,182.06666666666663,76.93333333333334,304.0,160.0,2004.0,297.0,662.0,959.0,503.0,267.0,83.0,431.0,532.0,1770.0,763.0,505.0,372.0,335.0,106.0,1.0,27.0,15.0,600.0,179.0,36.0,48.0,84.0,53.0,24.0,12.0,35.0,54.0,162.0,68.0,41.0,34.0,33.0,9.0,0.0,0.0,0.6875,0.875,0.5,0.7142857142857143,0.4310734463276836,0.7366336633663366,0.3164179104477612,0.3096976016684046,0.6903023983315955,0.3805157593123209,0.7387387387387387,0.316546762589928,0.3333333333333333,0.6666666666666666,216.0
3,CLE,CLE,EA,7.0,N,,,,10.0,22.0,32.0,4.0,12.0,6.0,10.0,7.0,14.0,6550.0,311.0,181.23076923076923,75.76923076923077,304.0,160.0,2071.0,295.0,674.0,969.0,480.0,221.0,83.0,440.0,567.0,1820.0,760.0,553.0,430.0,374.0,121.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3125,0.25,0.375,0.3333333333333333,0.4175824175824176,0.7775768535262206,0.3235294117647059,0.304437564499484,0.695562435500516,0.4345692475463468,0.761996161228407,0.3378684807256236,0.3028322440087146,0.6971677559912854,-69.0
4,CLE,CLE,EA,4.0,Y,L,,,17.0,17.0,34.0,11.0,6.0,6.0,11.0,13.0,11.0,6825.0,435.0,181.54545454545453,74.72727272727273,332.0,170.0,2229.0,349.0,720.0,1069.0,517.0,226.0,86.0,450.0,639.0,1975.0,815.0,643.0,464.0,425.0,135.0,4.0,31.0,15.0,600.0,203.0,22.0,74.0,96.0,42.0,22.0,12.0,39.0,67.0,173.0,67.0,77.0,59.0,35.0,10.0,0.0,0.0,0.5,0.6470588235294118,0.3529411764705882,0.5416666666666666,0.4126582278481012,0.7216174183514774,0.3176470588235294,0.3264733395696913,0.6735266604303087,0.419823559937727,0.7660626029654036,0.3577464788732394,0.298804780876494,0.701195219123506,19.0
4,CON,CON,EA,3.0,Y,W,L,,18.0,16.0,34.0,10.0,7.0,8.0,9.0,11.0,13.0,6875.0,0.0,181.63636363636363,76.45454545454545,336.0,170.0,2384.0,333.0,762.0,1095.0,520.0,270.0,111.0,428.0,663.0,2102.0,864.0,646.0,479.0,549.0,177.0,5.0,37.0,20.0,800.0,272.0,26.0,83.0,109.0,65.0,26.0,13.0,38.0,75.0,221.0,103.0,67.0,54.0,48.0,12.0,0.0,0.0,0.5294117647058824,0.5882352941176471,0.4705882352941176,0.4583333333333333,0.4110371075166508,0.7414860681114551,0.3224043715846995,0.3041095890410959,0.6958904109589041,0.4106463878326996,0.7563150074294205,0.3208955223880597,0.3106960950764006,0.6893039049235993,-25.0
5,CON,CON,EA,1.0,Y,W,W,L,18.0,16.0,34.0,10.0,7.0,8.0,9.0,14.0,6.0,6900.0,260.0,179.8181818181818,75.0,330.0,170.0,2335.0,321.0,724.0,1045.0,572.0,299.0,96.0,444.0,610.0,2051.0,876.0,590.0,434.0,467.0,149.0,1.0,75.0,40.0,1600.0,529.0,78.0,173.0,251.0,114.0,71.0,20.0,103.0,128.0,470.0,191.0,143.0,110.0,102.0,37.0,0.0,1.0,0.5294117647058824,0.5882352941176471,0.4705882352941176,0.7,0.4271087274500244,0.735593220338983,0.3190578158458244,0.307177033492823,0.692822966507177,0.4298597194388777,0.7395659432387313,0.3776041666666667,0.2878645343367827,0.7121354656632173,31.0
6,CON,CON,EA,1.0,Y,W,W,W,26.0,8.0,34.0,14.0,3.0,12.0,5.0,13.0,7.0,6800.0,572.0,182.0,78.83333333333333,322.0,170.0,2474.0,322.0,788.0,1110.0,573.0,236.0,130.0,442.0,624.0,2025.0,916.0,688.0,512.0,373.0,130.0,1.0,74.0,40.0,1650.0,554.0,70.0,190.0,260.0,108.0,54.0,41.0,103.0,135.0,445.0,187.0,192.0,139.0,114.0,41.0,0.0,0.0,0.7647058823529411,0.8235294117647058,0.7058823529411765,0.65,0.4523456790123457,0.7441860465116279,0.3485254691689008,0.29009009009009,0.7099099099099099,0.3976190476190476,0.7545909849749582,0.305,0.3246753246753247,0.6753246753246753,230.0
